trial,dangerSide,dangerCentreX,dangerCentreZ,possInteroLeft,possInteroNoLeft,possInteroRight,possInteroNoRight,possExteroDanger,possExteroNoDanger
1,R,-0.5,0.5,0,0,0,0,0.8,0.3
2,R,-0.5,0.5,0.8,0.3,0.8,0.3,0,0
3,L,0.5,-0.5,0.8,0.3,0.8,0.3,0,0
4,L,0.5,-0.5,0,0,0,0,0.8,0.3
